2024/04/12 20:58:45 ID: 241, Data: 9C18FDFF91FFB500, Celsius: 24, A: -0.03, rev/s: -0.308,  rev: +0.503
2024/04/12 20:58:45 ID: 241, Data: 9C18FFFF95FFAA00, Celsius: 24, A: -0.01, rev/s: -0.297,  rev: +0.472
2024/04/12 20:58:45 ID: 241, Data: 9C18FBFF93FF9F00, Celsius: 24, A: -0.05, rev/s: -0.303,  rev: +0.442
2024/04/12 20:58:45 ID: 241, Data: 9C18FFFF94FF9400, Celsius: 24, A: -0.01, rev/s: -0.300,  rev: +0.411
2024/04/12 20:58:45 ID: 241, Data: 9C18F9FF9AFF8900, Celsius: 24, A: -0.07, rev/s: -0.283,  rev: +0.381
2024/04/12 20:58:46 ID: 241, Data: 9C18FFFF95FF7D00, Celsius: 24, A: -0.01, rev/s: -0.297,  rev: +0.347
2024/04/12 20:58:46 ID: 241, Data: 9C18FBFF95FF7200, Celsius: 24, A: -0.05, rev/s: -0.297,  rev: +0.317
2024/04/12 20:58:46 ID: 241, Data: 9C1800008EFF6700, Celsius: 24, A: +0.00, rev/s: -0.317,  rev: +0.286
2024/04/12 20:58:46 ID: 241, Data: 9C18FCFF9DFF5C00, Celsius: 24, A: -0.04, rev/s: -0.275,  rev: +0.256
2024/04/12 20:58:46 ID: 241, Data: 9C18000089FF5100, Celsius: 24, A: +0.00, rev/s: -0.331,  rev: +0.225
2024/04/12 20:58:46 ID: 241, Data: 9C18FDFF9EFF4600, Celsius: 24, A: -0.03, rev/s: -0.272,  rev: +0.194
2024/04/12 20:58:46 ID: 241, Data: 9C18FCFF91FF3B00, Celsius: 24, A: -0.04, rev/s: -0.308,  rev: +0.164
2024/04/12 20:58:46 ID: 241, Data: 9C18FFFF96FF3000, Celsius: 24, A: -0.01, rev/s: -0.294,  rev: +0.133
2024/04/12 20:58:46 ID: 241, Data: 9C18F7FF97FF2400, Celsius: 24, A: -0.09, rev/s: -0.292,  rev: +0.100
2024/04/12 20:58:46 ID: 241, Data: 9C18000094FF1900, Celsius: 24, A: +0.00, rev/s: -0.300,  rev: +0.069
2024/04/12 20:58:47 ID: 241, Data: 9C18F8FF99FF0E00, Celsius: 24, A: -0.08, rev/s: -0.286,  rev: +0.039
2024/04/12 20:58:47 ID: 241, Data: 9C18000094FF0300, Celsius: 24, A: +0.00, rev/s: -0.300,  rev: +0.008
2024/04/12 20:58:47 ID: 241, Data: 9C18FCFF95FFF9FF, Celsius: 24, A: -0.04, rev/s: -0.297,  rev: -0.019
2024/04/12 20:58:47 ID: 241, Data: 9C1800008FFFEEFF, Celsius: 24, A: +0.00, rev/s: -0.314,  rev: -0.050
2024/04/12 20:58:47 ID: 241, Data: 9C18FDFF9CFFE3FF, Celsius: 24, A: -0.03, rev/s: -0.278,  rev: -0.081
2024/04/12 20:58:47 ID: 241, Data: 9C18FEFF8CFFD7FF, Celsius: 24, A: -0.02, rev/s: -0.322,  rev: -0.114
2024/04/12 20:58:47 ID: 241, Data: 9C18FDFF9CFFCCFF, Celsius: 24, A: -0.03, rev/s: -0.278,  rev: -0.144
2024/04/12 20:58:47 ID: 241, Data: 9C18FDFF91FFC1FF, Celsius: 24, A: -0.03, rev/s: -0.308,  rev: -0.175
2024/04/12 20:58:47 ID: 241, Data: 9C18FFFF99FFB6FF, Celsius: 24, A: -0.01, rev/s: -0.286,  rev: -0.206
2024/04/12 20:58:47 ID: 241, Data: 9C18FBFF92FFABFF, Celsius: 24, A: -0.05, rev/s: -0.306,  rev: -0.236
2024/04/12 20:58:48 ID: 241, Data: 9C18FEFF94FFA0FF, Celsius: 24, A: -0.02, rev/s: -0.300,  rev: -0.267
2024/04/12 20:58:48 ID: 241, Data: 9C18FAFF96FF95FF, Celsius: 24, A: -0.06, rev/s: -0.294,  rev: -0.297
2024/04/12 20:58:48 ID: 241, Data: 9C18FFFF96FF89FF, Celsius: 24, A: -0.01, rev/s: -0.294,  rev: -0.331
2024/04/12 20:58:48 ID: 241, Data: 9C18FAFF95FF7EFF, Celsius: 24, A: -0.06, rev/s: -0.297,  rev: -0.361
2024/04/12 20:58:48 ID: 241, Data: 9C18000090FF73FF, Celsius: 24, A: +0.00, rev/s: -0.311,  rev: -0.392
2024/04/12 20:58:48 ID: 241, Data: 9C18F9FF9BFF68FF, Celsius: 24, A: -0.07, rev/s: -0.281,  rev: -0.422
2024/04/12 20:58:48 ID: 241, Data: 9C18FEFF8AFF5DFF, Celsius: 24, A: -0.02, rev/s: -0.328,  rev: -0.453
2024/04/12 20:58:48 ID: 241, Data: 9C18FCFF9BFF52FF, Celsius: 24, A: -0.04, rev/s: -0.281,  rev: -0.483
2024/04/12 20:58:48 ID: 241, Data: 9C18FCFF94FF47FF, Celsius: 24, A: -0.04, rev/s: -0.300,  rev: -0.514
2024/04/12 20:58:48 ID: 241, Data: 9C18000094FF3BFF, Celsius: 24, A: +0.00, rev/s: -0.300,  rev: -0.547
2024/04/12 20:58:49 ID: 241, Data: 9C18FAFF93FF30FF, Celsius: 24, A: -0.06, rev/s: -0.303,  rev: -0.578
2024/04/12 20:58:49 ID: 241, Data: 9C18FFFF94FF25FF, Celsius: 24, A: -0.01, rev/s: -0.300,  rev: -0.608
2024/04/12 20:58:49 ID: 241, Data: 9C18FBFF94FF1AFF, Celsius: 24, A: -0.05, rev/s: -0.300,  rev: -0.639
