2024/04/15 11:03:00 ID: 241, Data: 9C1917001B078B41, Celsius: 25, A: +0.23, rev/s: +5.053,  rev: +46.608
2024/04/15 11:03:00 ID: 241, Data: 9C18130035074442, Celsius: 24, A: +0.19, rev/s: +5.125,  rev: +47.122
2024/04/15 11:03:00 ID: 241, Data: 9C1819001707FC42, Celsius: 24, A: +0.25, rev/s: +5.042,  rev: +47.633
2024/04/15 11:03:00 ID: 241, Data: 9C181A000607B543, Celsius: 24, A: +0.26, rev/s: +4.994,  rev: +48.147
2024/04/15 11:03:00 ID: 241, Data: 9C17200020076D44, Celsius: 23, A: +0.32, rev/s: +5.067,  rev: +48.658
2024/04/15 11:03:01 ID: 241, Data: 9C18210002072545, Celsius: 24, A: +0.33, rev/s: +4.983,  rev: +49.169
2024/04/15 11:03:01 ID: 241, Data: 9C1813002507DD45, Celsius: 24, A: +0.19, rev/s: +5.081,  rev: +49.681
2024/04/15 11:03:01 ID: 241, Data: 9C181400ED069446, Celsius: 24, A: +0.20, rev/s: +4.925,  rev: +50.189
2024/04/15 11:03:01 ID: 241, Data: 9C18190003074C47, Celsius: 24, A: +0.25, rev/s: +4.986,  rev: +50.700
2024/04/15 11:03:01 ID: 241, Data: 9C182200D4060348, Celsius: 24, A: +0.34, rev/s: +4.856,  rev: +51.208
2024/04/15 11:03:01 ID: 241, Data: 9C1817002807BA48, Celsius: 24, A: +0.23, rev/s: +5.089,  rev: +51.717
2024/04/15 11:03:01 ID: 241, Data: 9C191F00E0067249, Celsius: 25, A: +0.31, rev/s: +4.889,  rev: +52.228
2024/04/15 11:03:01 ID: 241, Data: 9C191900FC062A4A, Celsius: 25, A: +0.25, rev/s: +4.967,  rev: +52.739
2024/04/15 11:03:01 ID: 241, Data: 9C181D00EA06E24A, Celsius: 24, A: +0.29, rev/s: +4.917,  rev: +53.250
2024/04/15 11:03:01 ID: 241, Data: 9C180D001E079A4B, Celsius: 24, A: +0.13, rev/s: +5.061,  rev: +53.761
2024/04/15 11:03:02 ID: 241, Data: 9C182200E106514C, Celsius: 24, A: +0.34, rev/s: +4.892,  rev: +54.269
2024/04/15 11:03:02 ID: 241, Data: 9C181100F1060B4D, Celsius: 24, A: +0.17, rev/s: +4.936,  rev: +54.786
2024/04/15 11:03:02 ID: 241, Data: 9C182300E006C14D, Celsius: 24, A: +0.35, rev/s: +4.889,  rev: +55.292
2024/04/15 11:03:02 ID: 241, Data: 9C1824000407794E, Celsius: 24, A: +0.36, rev/s: +4.989,  rev: +55.803
2024/04/15 11:03:02 ID: 241, Data: 9C191A00EF062F4F, Celsius: 25, A: +0.26, rev/s: +4.931,  rev: +56.308
2024/04/15 11:03:02 ID: 241, Data: 9C182100F406E74F, Celsius: 24, A: +0.33, rev/s: +4.944,  rev: +56.819
2024/04/15 11:03:02 ID: 241, Data: 9C181800FC069D50, Celsius: 24, A: +0.24, rev/s: +4.967,  rev: +57.325
2024/04/15 11:03:02 ID: 241, Data: 9C191700F7065451, Celsius: 25, A: +0.23, rev/s: +4.953,  rev: +57.833
2024/04/15 11:03:02 ID: 241, Data: 9C182200EC060B52, Celsius: 24, A: +0.34, rev/s: +4.922,  rev: +58.342
2024/04/15 11:03:02 ID: 241, Data: 9C181E00E606C452, Celsius: 24, A: +0.30, rev/s: +4.906,  rev: +58.856
2024/04/15 11:03:03 ID: 241, Data: 9C181B0009077B53, Celsius: 24, A: +0.27, rev/s: +5.003,  rev: +59.364
2024/04/15 11:03:03 ID: 241, Data: 9C183000EF063454, Celsius: 24, A: +0.48, rev/s: +4.931,  rev: +59.878
2024/04/15 11:03:03 ID: 241, Data: 9C181F000B07EC54, Celsius: 24, A: +0.31, rev/s: +5.008,  rev: +60.389
2024/04/15 11:03:03 ID: 241, Data: 9C181B00F706A655, Celsius: 24, A: +0.27, rev/s: +4.953,  rev: +60.906
2024/04/15 11:03:03 ID: 241, Data: 9C181B0018075D56, Celsius: 24, A: +0.27, rev/s: +5.044,  rev: +61.414
2024/04/15 11:03:03 ID: 241, Data: 9C181D00FD061857, Celsius: 24, A: +0.29, rev/s: +4.969,  rev: +61.933
2024/04/15 11:03:03 ID: 241, Data: 9C1826001E07D057, Celsius: 24, A: +0.38, rev/s: +5.061,  rev: +62.444
2024/04/15 11:03:03 ID: 241, Data: 9C192A00D9068A58, Celsius: 25, A: +0.42, rev/s: +4.869,  rev: +62.961
2024/04/15 11:03:03 ID: 241, Data: 9C1913001F074359, Celsius: 25, A: +0.19, rev/s: +5.064,  rev: +63.475
2024/04/15 11:03:04 ID: 241, Data: 9C1813000607FC59, Celsius: 24, A: +0.19, rev/s: +4.994,  rev: +63.989
2024/04/15 11:03:04 ID: 241, Data: 9C1819001B07B45A, Celsius: 24, A: +0.25, rev/s: +5.053,  rev: +64.500
2024/04/15 11:03:04 ID: 241, Data: 9C1821000D076E5B, Celsius: 24, A: +0.33, rev/s: +5.014,  rev: +65.017
2024/04/15 11:03:04 ID: 241, Data: 9C1834001207265C, Celsius: 24, A: +0.52, rev/s: +5.028,  rev: +65.528
2024/04/15 11:03:04 ID: 241, Data: 9C1819000907DE5C, Celsius: 24, A: +0.25, rev/s: +5.003,  rev: +66.039
2024/04/15 11:03:04 ID: 241, Data: 9C1822002207965D, Celsius: 24, A: +0.34, rev/s: +5.072,  rev: +66.550
2024/04/15 11:03:04 ID: 241, Data: 9C1812000C074E5E, Celsius: 24, A: +0.18, rev/s: +5.011,  rev: +67.061
2024/04/15 11:03:04 ID: 241, Data: 9C1827000F07075F, Celsius: 24, A: +0.39, rev/s: +5.019,  rev: +67.575
2024/04/15 11:03:04 ID: 241, Data: 9C181900F706BE5F, Celsius: 24, A: +0.25, rev/s: +4.953,  rev: +68.083
2024/04/15 11:03:04 ID: 241, Data: 9C1827000F077760, Celsius: 24, A: +0.39, rev/s: +5.019,  rev: +68.597
2024/04/15 11:03:05 ID: 241, Data: 9C181B0029073161, Celsius: 24, A: +0.27, rev/s: +5.092,  rev: +69.114
