2024/04/12 15:40:17 ID: 241, Data: 9C1A0F000B0470EB, Celsius: 26, A: +0.15, rev/s: +2.875,  rev: -14.622
2024/04/12 15:40:17 ID: 241, Data: 9C1A08004104DFEB, Celsius: 26, A: +0.08, rev/s: +3.025,  rev: -14.314
2024/04/12 15:40:17 ID: 241, Data: 9C1A020065044EEC, Celsius: 26, A: +0.02, rev/s: +3.125,  rev: -14.006
2024/04/12 15:40:18 ID: 241, Data: 9C1A09001D04BCEC, Celsius: 26, A: +0.09, rev/s: +2.925,  rev: -13.700
2024/04/12 15:40:18 ID: 241, Data: 9C1A010065042BED, Celsius: 26, A: +0.01, rev/s: +3.125,  rev: -13.392
2024/04/12 15:40:18 ID: 241, Data: 9C1A1000160499ED, Celsius: 26, A: +0.16, rev/s: +2.906,  rev: -13.086
2024/04/12 15:40:18 ID: 241, Data: 9C1A0400310408EE, Celsius: 26, A: +0.04, rev/s: +2.981,  rev: -12.778
2024/04/12 15:40:18 ID: 241, Data: 9C1A06003C0476EE, Celsius: 26, A: +0.06, rev/s: +3.011,  rev: -12.472
2024/04/12 15:40:18 ID: 241, Data: 9C1A06003B04E5EE, Celsius: 26, A: +0.06, rev/s: +3.008,  rev: -12.164
2024/04/12 15:40:18 ID: 241, Data: 9C1A00004F0453EF, Celsius: 26, A: +0.00, rev/s: +3.064,  rev: -11.858
2024/04/12 15:40:18 ID: 241, Data: 9C1A1200EF03C2EF, Celsius: 26, A: +0.18, rev/s: +2.797,  rev: -11.550
2024/04/12 15:40:18 ID: 241, Data: 9C1A0600260431F0, Celsius: 26, A: +0.06, rev/s: +2.950,  rev: -11.242
2024/04/12 15:40:18 ID: 241, Data: 9C1A060050049FF0, Celsius: 26, A: +0.06, rev/s: +3.067,  rev: -10.936
2024/04/12 15:40:19 ID: 241, Data: 9C1A0A0025040EF1, Celsius: 26, A: +0.10, rev/s: +2.947,  rev: -10.628
2024/04/12 15:40:19 ID: 241, Data: 9C1A02005B047DF1, Celsius: 26, A: +0.02, rev/s: +3.097,  rev: -10.319
2024/04/12 15:40:19 ID: 241, Data: 9C1A12002104EBF1, Celsius: 26, A: +0.18, rev/s: +2.936,  rev: -10.014
2024/04/12 15:40:19 ID: 241, Data: 9C1A0400540459F2, Celsius: 26, A: +0.04, rev/s: +3.078,  rev: -9.708
