2024/04/15 15:12:03 ID: 241, Data: 9C3B270302003707, Celsius: 59, A: +8.07, rev/s: +0.006,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3B2503EAFF3707, Celsius: 59, A: +8.05, rev/s: -0.061,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3B2603F4FF3707, Celsius: 59, A: +8.06, rev/s: -0.033,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3B25031A003707, Celsius: 59, A: +8.05, rev/s: +0.072,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3B2503FAFF3707, Celsius: 59, A: +8.05, rev/s: -0.017,  rev: +5.131
2024/04/15 15:12:03 ID: 241, Data: 9C3B240301003707, Celsius: 59, A: +8.04, rev/s: +0.003,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3C220300003707, Celsius: 60, A: +8.02, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3C220306003707, Celsius: 60, A: +8.02, rev/s: +0.017,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3C2203F1FF3707, Celsius: 60, A: +8.02, rev/s: -0.042,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3C210319003707, Celsius: 60, A: +8.01, rev/s: +0.069,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3D2003FEFF3707, Celsius: 61, A: +8.00, rev/s: -0.006,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3D1F03F3FF3707, Celsius: 61, A: +7.99, rev/s: -0.036,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3D2003F7FF3707, Celsius: 61, A: +8.00, rev/s: -0.025,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3D200303003707, Celsius: 61, A: +8.00, rev/s: +0.008,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3D2003FAFF3707, Celsius: 61, A: +8.00, rev/s: -0.017,  rev: +5.131
2024/04/15 15:12:04 ID: 241, Data: 9C3E1F0320003707, Celsius: 62, A: +7.99, rev/s: +0.089,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3E1E030A003707, Celsius: 62, A: +7.98, rev/s: +0.028,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3E1D03F5FF3707, Celsius: 62, A: +7.97, rev/s: -0.031,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3E1F03FFFF3707, Celsius: 62, A: +7.99, rev/s: -0.003,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3E1B0303003707, Celsius: 62, A: +7.95, rev/s: +0.008,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3E1C03E0FF3707, Celsius: 62, A: +7.96, rev/s: -0.089,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3F1B0307003707, Celsius: 63, A: +7.95, rev/s: +0.019,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3F1C03F7FF3707, Celsius: 63, A: +7.96, rev/s: -0.025,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3F1B03F1FF3707, Celsius: 63, A: +7.95, rev/s: -0.042,  rev: +5.131
2024/04/15 15:12:05 ID: 241, Data: 9C3F180300003707, Celsius: 63, A: +7.92, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C3F1A031B003707, Celsius: 63, A: +7.94, rev/s: +0.075,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C3F1A03FFFF3707, Celsius: 63, A: +7.94, rev/s: -0.003,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C401A03EBFF3707, Celsius: 64, A: +7.94, rev/s: -0.058,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C40180316003707, Celsius: 64, A: +7.92, rev/s: +0.061,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C40170300003707, Celsius: 64, A: +7.91, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C401703F8FF3707, Celsius: 64, A: +7.91, rev/s: -0.022,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C40170301003707, Celsius: 64, A: +7.91, rev/s: +0.003,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C401703F2FF3707, Celsius: 64, A: +7.91, rev/s: -0.039,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C41140304003707, Celsius: 65, A: +7.88, rev/s: +0.011,  rev: +5.131
2024/04/15 15:12:06 ID: 241, Data: 9C41150305003707, Celsius: 65, A: +7.89, rev/s: +0.014,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C4115030D003707, Celsius: 65, A: +7.89, rev/s: +0.036,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C41140300003707, Celsius: 65, A: +7.88, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C4214030C003707, Celsius: 66, A: +7.88, rev/s: +0.033,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C42110314003707, Celsius: 66, A: +7.85, rev/s: +0.056,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C42130304003707, Celsius: 66, A: +7.87, rev/s: +0.011,  rev: +5.131
