2024/04/17 13:17:24 ID: 241, Data: 9C3B7502C0028006, Celsius: 59, A: +6.29, rev/s: +1.956,  rev: +4.622
2024/04/17 13:17:24 ID: 241, Data: 9C3B3D031B02AC06, Celsius: 59, A: +8.29, rev/s: +1.497,  rev: +4.744
2024/04/17 13:17:24 ID: 241, Data: 9C3C17021804F606, Celsius: 60, A: +5.35, rev/s: +2.911,  rev: +4.950
2024/04/17 13:17:24 ID: 241, Data: 9C3C8C02EE023507, Celsius: 60, A: +6.52, rev/s: +2.083,  rev: +5.125
2024/04/17 13:17:24 ID: 241, Data: 9C3C4D0361019707, Celsius: 60, A: +8.45, rev/s: +0.981,  rev: +5.397
2024/04/17 13:17:25 ID: 241, Data: 9C3C04026003F407, Celsius: 60, A: +5.16, rev/s: +2.400,  rev: +5.656
2024/04/17 13:17:25 ID: 241, Data: 9C3CE100DC064808, Celsius: 60, A: +2.25, rev/s: +4.878,  rev: +5.889
2024/04/17 13:17:25 ID: 241, Data: 9C3CD5023C028B08, Celsius: 60, A: +7.25, rev/s: +1.589,  rev: +6.075
2024/04/17 13:17:25 ID: 241, Data: 9C3DA702D001E808, Celsius: 61, A: +6.79, rev/s: +1.289,  rev: +6.333
2024/04/17 13:17:25 ID: 241, Data: 9C3DEC00A2064C09, Celsius: 61, A: +2.36, rev/s: +4.717,  rev: +6.611
2024/04/17 13:17:25 ID: 241, Data: 9C3D83007B07B109, Celsius: 61, A: +1.31, rev/s: +5.319,  rev: +6.892
2024/04/17 13:17:25 ID: 241, Data: 9C3D3E029103060A, Celsius: 61, A: +5.74, rev/s: +2.536,  rev: +7.128
2024/04/17 13:17:25 ID: 241, Data: 9C3DE9021902620A, Celsius: 61, A: +7.45, rev/s: +1.492,  rev: +7.383
2024/04/17 13:17:25 ID: 241, Data: 9C3E9202E902C10A, Celsius: 62, A: +6.58, rev/s: +2.069,  rev: +7.647
2024/04/17 13:17:25 ID: 241, Data: 9C3EBA00D406160B, Celsius: 62, A: +1.86, rev/s: +4.856,  rev: +7.883
2024/04/17 13:17:26 ID: 241, Data: 9C3E3D022603660B, Celsius: 62, A: +5.73, rev/s: +2.239,  rev: +8.106
2024/04/17 13:17:26 ID: 241, Data: 9C3D68022302D10B, Celsius: 61, A: +6.16, rev/s: +1.519,  rev: +8.403
2024/04/17 13:17:26 ID: 241, Data: 9C3DB402E601390C, Celsius: 61, A: +6.92, rev/s: +1.350,  rev: +8.692
2024/04/17 13:17:26 ID: 241, Data: 9C3E7F011F05970C, Celsius: 62, A: +3.83, rev/s: +3.642,  rev: +8.953
2024/04/17 13:17:26 ID: 241, Data: 9C3ED102A502CC0C, Celsius: 62, A: +7.21, rev/s: +1.881,  rev: +9.100
2024/04/17 13:17:26 ID: 241, Data: 9C3E6C0250022D0D, Celsius: 62, A: +6.20, rev/s: +1.644,  rev: +9.369
2024/04/17 13:17:26 ID: 241, Data: 9C3E7B022403920D, Celsius: 62, A: +6.35, rev/s: +2.233,  rev: +9.650
2024/04/17 13:17:26 ID: 241, Data: 9C3E96004707ED0D, Celsius: 62, A: +1.50, rev/s: +5.175,  rev: +9.903
2024/04/17 13:17:26 ID: 241, Data: 9C3D4D02AB03410E, Celsius: 61, A: +5.89, rev/s: +2.608,  rev: +10.136
2024/04/17 13:17:26 ID: 241, Data: 9C3E69026502A10E, Celsius: 62, A: +6.17, rev/s: +1.703,  rev: +10.403
2024/04/17 13:17:27 ID: 241, Data: 9C3EF102D7010A0F, Celsius: 62, A: +7.53, rev/s: +1.308,  rev: +10.694
2024/04/17 13:17:27 ID: 241, Data: 9C3ECC01FB03630F, Celsius: 62, A: +4.60, rev/s: +2.831,  rev: +10.942
2024/04/17 13:17:27 ID: 241, Data: 9C3E8402A5029B0F, Celsius: 62, A: +6.44, rev/s: +1.881,  rev: +11.097
2024/04/17 13:17:27 ID: 241, Data: 9C3EE1020C020010, Celsius: 62, A: +7.37, rev/s: +1.456,  rev: +11.378
2024/04/17 13:17:27 ID: 241, Data: 9C3E510155053910, Celsius: 62, A: +3.37, rev/s: +3.792,  rev: +11.536
2024/04/17 13:17:27 ID: 241, Data: 9C3E6A0371006010, Celsius: 62, A: +8.74, rev/s: +0.314,  rev: +11.644
2024/04/17 13:17:27 ID: 241, Data: 9C3E910300006710, Celsius: 62, A: +9.13, rev/s: +0.000,  rev: +11.664
2024/04/17 13:17:27 ID: 241, Data: 9C3E8E0312006710, Celsius: 62, A: +9.10, rev/s: +0.050,  rev: +11.664
2024/04/17 13:17:27 ID: 241, Data: 9C3E8C03F9FF6710, Celsius: 62, A: +9.08, rev/s: -0.019,  rev: +11.664
2024/04/17 13:17:27 ID: 241, Data: 9C3E89030A006710, Celsius: 62, A: +9.05, rev/s: +0.028,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3E8903F6FF6710, Celsius: 62, A: +9.05, rev/s: -0.028,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3E8A0313006710, Celsius: 62, A: +9.06, rev/s: +0.053,  rev: +11.664
