2024/04/15 13:31:00 ID: 241, Data: 9C24F1FFB6FF39FA, Celsius: 36, A: -0.15, rev/s: -0.206,  rev: -4.108
2024/04/15 13:31:00 ID: 241, Data: 9C24F3FFB7FF2EFA, Celsius: 36, A: -0.13, rev/s: -0.203,  rev: -4.139
2024/04/15 13:31:00 ID: 241, Data: 9C24FEFFA5FF22FA, Celsius: 36, A: -0.02, rev/s: -0.253,  rev: -4.172
2024/04/15 13:31:00 ID: 241, Data: 9C24FCFFAAFF17FA, Celsius: 36, A: -0.04, rev/s: -0.239,  rev: -4.203
2024/04/15 13:31:00 ID: 241, Data: 9C2414007AFF0BFA, Celsius: 36, A: +0.20, rev/s: -0.372,  rev: -4.236
2024/04/15 13:31:01 ID: 241, Data: 9C247800ABFFFEF9, Celsius: 36, A: +1.20, rev/s: -0.236,  rev: -4.272
2024/04/15 13:31:01 ID: 241, Data: 9C246A00CAFFF7F9, Celsius: 36, A: +1.06, rev/s: -0.150,  rev: -4.292
2024/04/15 13:31:01 ID: 241, Data: 9C24250058FFEEF9, Celsius: 36, A: +0.37, rev/s: -0.467,  rev: -4.317
2024/04/15 13:31:01 ID: 241, Data: 9C241A00A7FFE1F9, Celsius: 36, A: +0.26, rev/s: -0.247,  rev: -4.353
2024/04/15 13:31:01 ID: 241, Data: 9C242A0050FFD5F9, Celsius: 36, A: +0.42, rev/s: -0.489,  rev: -4.386
2024/04/15 13:31:01 ID: 241, Data: 9C244C00B7FFC9F9, Celsius: 36, A: +0.76, rev/s: -0.203,  rev: -4.419
2024/04/15 13:31:01 ID: 241, Data: 9C243E0084FFBFF9, Celsius: 36, A: +0.62, rev/s: -0.344,  rev: -4.447
2024/04/15 13:31:01 ID: 241, Data: 9C24280074FFB5F9, Celsius: 36, A: +0.40, rev/s: -0.389,  rev: -4.475
2024/04/15 13:31:01 ID: 241, Data: 9C241D00ACFFA9F9, Celsius: 36, A: +0.29, rev/s: -0.233,  rev: -4.508
2024/04/15 13:31:02 ID: 241, Data: 9C24790032FF9BF9, Celsius: 36, A: +1.21, rev/s: -0.572,  rev: -4.547
2024/04/15 13:31:02 ID: 241, Data: 9C24E20001008FF9, Celsius: 36, A: +2.26, rev/s: +0.003,  rev: -4.581
2024/04/15 13:31:02 ID: 241, Data: 9C2459007FFF8BF9, Celsius: 36, A: +0.89, rev/s: -0.358,  rev: -4.592
