2024/04/15 14:25:06 ID: 241, Data: 9C33E902020024EF, Celsius: 51, A: +7.45, rev/s: +0.006,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C34E902030024EF, Celsius: 52, A: +7.45, rev/s: +0.008,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C34E802FDFF24EF, Celsius: 52, A: +7.44, rev/s: -0.008,  rev: -11.989
2024/04/15 14:25:06 ID: 241, Data: 9C34E602F1FF24EF, Celsius: 52, A: +7.42, rev/s: -0.042,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C34E602F4FF24EF, Celsius: 52, A: +7.42, rev/s: -0.033,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C35E7020E0024EF, Celsius: 53, A: +7.43, rev/s: +0.039,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C35E402070024EF, Celsius: 53, A: +7.40, rev/s: +0.019,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C35E3020C0024EF, Celsius: 53, A: +7.39, rev/s: +0.033,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C35E4021B0024EF, Celsius: 53, A: +7.40, rev/s: +0.075,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C35E202FCFF24EF, Celsius: 53, A: +7.38, rev/s: -0.011,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C35E202FAFF24EF, Celsius: 53, A: +7.38, rev/s: -0.017,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C36E202FAFF24EF, Celsius: 54, A: +7.38, rev/s: -0.017,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C36E002000024EF, Celsius: 54, A: +7.36, rev/s: +0.000,  rev: -11.989
2024/04/15 14:25:07 ID: 241, Data: 9C36DF02250024EF, Celsius: 54, A: +7.35, rev/s: +0.103,  rev: -11.989
2024/04/15 14:25:08 ID: 241, Data: 9C36E002F7FF24EF, Celsius: 54, A: +7.36, rev/s: -0.025,  rev: -11.989
2024/04/15 14:25:08 ID: 241, Data: 9C37E0020A0024EF, Celsius: 55, A: +7.36, rev/s: +0.028,  rev: -11.989
2024/04/15 14:25:08 ID: 241, Data: 9C37DD020D0025EF, Celsius: 55, A: +7.33, rev/s: +0.036,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C37DE02FDFF25EF, Celsius: 55, A: +7.34, rev/s: -0.008,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C38DE02000025EF, Celsius: 56, A: +7.34, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C38DC02000025EF, Celsius: 56, A: +7.32, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C38DC02120025EF, Celsius: 56, A: +7.32, rev/s: +0.050,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C39DA02030025EF, Celsius: 57, A: +7.30, rev/s: +0.008,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C38DB02FBFF25EF, Celsius: 56, A: +7.31, rev/s: -0.014,  rev: -11.986
2024/04/15 14:25:08 ID: 241, Data: 9C39DB02030025EF, Celsius: 57, A: +7.31, rev/s: +0.008,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C39DB02000025EF, Celsius: 57, A: +7.31, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C39DA02030025EF, Celsius: 57, A: +7.30, rev/s: +0.008,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C39D902FEFF25EF, Celsius: 57, A: +7.29, rev/s: -0.006,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C39D902F8FF25EF, Celsius: 57, A: +7.29, rev/s: -0.022,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C39D902F9FF25EF, Celsius: 57, A: +7.29, rev/s: -0.019,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C3AD902040025EF, Celsius: 58, A: +7.29, rev/s: +0.011,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C3AD802110025EF, Celsius: 58, A: +7.28, rev/s: +0.047,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C3AD802F9FF25EF, Celsius: 58, A: +7.28, rev/s: -0.019,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C3AD702F1FF25EF, Celsius: 58, A: +7.27, rev/s: -0.042,  rev: -11.986
2024/04/15 14:25:09 ID: 241, Data: 9C3AD702040025EF, Celsius: 58, A: +7.27, rev/s: +0.011,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3BD702040025EF, Celsius: 59, A: +7.27, rev/s: +0.011,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3BD602F1FF25EF, Celsius: 59, A: +7.26, rev/s: -0.042,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3BD7020D0025EF, Celsius: 59, A: +7.27, rev/s: +0.036,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3BD602000025EF, Celsius: 59, A: +7.26, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3BD502FEFF25EF, Celsius: 59, A: +7.25, rev/s: -0.006,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3CD502100025EF, Celsius: 60, A: +7.25, rev/s: +0.044,  rev: -11.986
