2024/04/15 13:59:53 ID: 241, Data: 9C2E0C03EBFF8F02, Celsius: 46, A: +7.80, rev/s: -0.058,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2F0B03ECFF8F02, Celsius: 47, A: +7.79, rev/s: -0.056,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2E0C03F8FF8F02, Celsius: 46, A: +7.80, rev/s: -0.022,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2E0C0310008F02, Celsius: 46, A: +7.80, rev/s: +0.044,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2E0C03F6FF8F02, Celsius: 46, A: +7.80, rev/s: -0.028,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2E080303008F02, Celsius: 46, A: +7.76, rev/s: +0.008,  rev: +1.819
2024/04/15 13:59:53 ID: 241, Data: 9C2F090300008F02, Celsius: 47, A: +7.77, rev/s: +0.000,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2F080308008F02, Celsius: 47, A: +7.76, rev/s: +0.022,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E0703FDFF8F02, Celsius: 46, A: +7.75, rev/s: -0.008,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E08030A008F02, Celsius: 46, A: +7.76, rev/s: +0.028,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E0503EFFF8F02, Celsius: 46, A: +7.73, rev/s: -0.047,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E07030A008F02, Celsius: 46, A: +7.75, rev/s: +0.028,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E050313008F02, Celsius: 46, A: +7.73, rev/s: +0.053,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E0503F2FF8F02, Celsius: 46, A: +7.73, rev/s: -0.039,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E0303FAFF8F02, Celsius: 46, A: +7.71, rev/s: -0.017,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2E050303008F02, Celsius: 46, A: +7.73, rev/s: +0.008,  rev: +1.819
2024/04/15 13:59:54 ID: 241, Data: 9C2F020306008F02, Celsius: 47, A: +7.70, rev/s: +0.017,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E0203EBFF8F02, Celsius: 46, A: +7.70, rev/s: -0.058,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2F01031B008F02, Celsius: 47, A: +7.69, rev/s: +0.075,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E030300008F02, Celsius: 46, A: +7.71, rev/s: +0.000,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E0003F5FF8F02, Celsius: 46, A: +7.68, rev/s: -0.031,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E0303F6FF8F02, Celsius: 46, A: +7.71, rev/s: -0.028,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E020302008F02, Celsius: 46, A: +7.70, rev/s: +0.006,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E020309008F02, Celsius: 46, A: +7.70, rev/s: +0.025,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2FFC021A008F02, Celsius: 47, A: +7.64, rev/s: +0.072,  rev: +1.819
2024/04/15 13:59:55 ID: 241, Data: 9C2E000300008F02, Celsius: 46, A: +7.68, rev/s: +0.000,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2E0003F8FF8F02, Celsius: 46, A: +7.68, rev/s: -0.022,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2EFE02F2FF8F02, Celsius: 46, A: +7.66, rev/s: -0.039,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2EFD02EEFF8F02, Celsius: 46, A: +7.65, rev/s: -0.050,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2FFD02EEFF8F02, Celsius: 47, A: +7.65, rev/s: -0.050,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2FFB0230008F02, Celsius: 47, A: +7.63, rev/s: +0.133,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2EFC02FEFF8F02, Celsius: 46, A: +7.64, rev/s: -0.006,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2EFB02F8FF8F02, Celsius: 46, A: +7.63, rev/s: -0.022,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2FF90233008F02, Celsius: 47, A: +7.61, rev/s: +0.142,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2EFC0204008F02, Celsius: 46, A: +7.64, rev/s: +0.011,  rev: +1.819
2024/04/15 13:59:56 ID: 241, Data: 9C2EFC02EDFF8F02, Celsius: 46, A: +7.64, rev/s: -0.053,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2EFA02E1FF8F02, Celsius: 46, A: +7.62, rev/s: -0.086,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2FF902F0FF8F02, Celsius: 47, A: +7.61, rev/s: -0.044,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2FF90201008F02, Celsius: 47, A: +7.61, rev/s: +0.003,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2FF60230008F02, Celsius: 47, A: +7.58, rev/s: +0.133,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2EF802F8FF8F02, Celsius: 46, A: +7.60, rev/s: -0.022,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2EF802FAFF8F02, Celsius: 46, A: +7.60, rev/s: -0.017,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2FF602D0FF8F02, Celsius: 47, A: +7.58, rev/s: -0.133,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2EF702FBFF8F02, Celsius: 46, A: +7.59, rev/s: -0.014,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2FF802D5FF8F02, Celsius: 47, A: +7.60, rev/s: -0.119,  rev: +1.819
2024/04/15 13:59:57 ID: 241, Data: 9C2FF40214008F02, Celsius: 47, A: +7.56, rev/s: +0.056,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF502FCFF8F02, Celsius: 47, A: +7.57, rev/s: -0.011,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF4020C008F02, Celsius: 47, A: +7.56, rev/s: +0.033,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF50203008F02, Celsius: 47, A: +7.57, rev/s: +0.008,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2EF30210008F02, Celsius: 46, A: +7.55, rev/s: +0.044,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2EF60202008F02, Celsius: 46, A: +7.58, rev/s: +0.006,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF50214008F02, Celsius: 47, A: +7.57, rev/s: +0.056,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2EF502F8FF8F02, Celsius: 46, A: +7.57, rev/s: -0.022,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF30217008F02, Celsius: 47, A: +7.55, rev/s: +0.064,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF402F5FF8F02, Celsius: 47, A: +7.56, rev/s: -0.031,  rev: +1.819
2024/04/15 13:59:58 ID: 241, Data: 9C2FF20209008F02, Celsius: 47, A: +7.54, rev/s: +0.025,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF20212008F02, Celsius: 47, A: +7.54, rev/s: +0.050,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF402EEFF8F02, Celsius: 47, A: +7.56, rev/s: -0.050,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF102F2FF8F02, Celsius: 47, A: +7.53, rev/s: -0.039,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2EEF0208008F02, Celsius: 46, A: +7.51, rev/s: +0.022,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF102EFFF8F02, Celsius: 47, A: +7.53, rev/s: -0.047,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FEF0207008F02, Celsius: 47, A: +7.51, rev/s: +0.019,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF002E3FF8F02, Celsius: 47, A: +7.52, rev/s: -0.081,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF00202008F02, Celsius: 47, A: +7.52, rev/s: +0.006,  rev: +1.819
2024/04/15 13:59:59 ID: 241, Data: 9C2FF00200008F02, Celsius: 47, A: +7.52, rev/s: +0.000,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEE0203008F02, Celsius: 47, A: +7.50, rev/s: +0.008,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FF002CDFF8F02, Celsius: 47, A: +7.52, rev/s: -0.142,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEE02FFFF8F02, Celsius: 47, A: +7.50, rev/s: -0.003,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEF02DBFF8F02, Celsius: 47, A: +7.51, rev/s: -0.103,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEC0214008F02, Celsius: 47, A: +7.48, rev/s: +0.056,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEE0201008F02, Celsius: 47, A: +7.50, rev/s: +0.003,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEF0203008F02, Celsius: 47, A: +7.51, rev/s: +0.008,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEC02FBFF8F02, Celsius: 47, A: +7.48, rev/s: -0.014,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEB02FDFF8F02, Celsius: 47, A: +7.47, rev/s: -0.008,  rev: +1.819
2024/04/15 14:00:00 ID: 241, Data: 9C2FEA020F008F02, Celsius: 47, A: +7.46, rev/s: +0.042,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FED02F3FF8F02, Celsius: 47, A: +7.49, rev/s: -0.036,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FE80211008F02, Celsius: 47, A: +7.44, rev/s: +0.047,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FEC0206008F02, Celsius: 47, A: +7.48, rev/s: +0.017,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FE8021A008F02, Celsius: 47, A: +7.44, rev/s: +0.072,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FEB02CEFF8F02, Celsius: 47, A: +7.47, rev/s: -0.139,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FEB02EBFF8F02, Celsius: 47, A: +7.47, rev/s: -0.058,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FE802FCFF8F02, Celsius: 47, A: +7.44, rev/s: -0.011,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FEA0211008F02, Celsius: 47, A: +7.46, rev/s: +0.047,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FE80203008F02, Celsius: 47, A: +7.44, rev/s: +0.008,  rev: +1.819
2024/04/15 14:00:01 ID: 241, Data: 9C2FE80215008F02, Celsius: 47, A: +7.44, rev/s: +0.058,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE902F9FF8F02, Celsius: 47, A: +7.45, rev/s: -0.019,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE70200008F02, Celsius: 47, A: +7.43, rev/s: +0.000,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE802F6FF8F02, Celsius: 47, A: +7.44, rev/s: -0.028,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE60231008F02, Celsius: 47, A: +7.42, rev/s: +0.136,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE902E2FF8F02, Celsius: 47, A: +7.45, rev/s: -0.083,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE702F7FF8F02, Celsius: 47, A: +7.43, rev/s: -0.025,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE70201008F02, Celsius: 47, A: +7.43, rev/s: +0.003,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE802F1FF8F02, Celsius: 47, A: +7.44, rev/s: -0.042,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE40212008F02, Celsius: 47, A: +7.40, rev/s: +0.050,  rev: +1.819
2024/04/15 14:00:02 ID: 241, Data: 9C2FE602E7FF8F02, Celsius: 47, A: +7.42, rev/s: -0.069,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE602FEFF8F02, Celsius: 47, A: +7.42, rev/s: -0.006,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE402FEFF8F02, Celsius: 47, A: +7.40, rev/s: -0.006,  rev: +1.819
