2024/04/15 13:48:59 ID: 241, Data: 9C2EC8FFC3FF790F, Celsius: 46, A: -0.56, rev/s: -0.169,  rev: +11.003
2024/04/15 13:48:59 ID: 241, Data: 9C2EC2FFABFF6F0F, Celsius: 46, A: -0.62, rev/s: -0.236,  rev: +10.975
2024/04/15 13:48:59 ID: 241, Data: 9C2EA9FF79FF660F, Celsius: 46, A: -0.87, rev/s: -0.375,  rev: +10.950
2024/04/15 13:48:59 ID: 241, Data: 9C2E9BFF99FF590F, Celsius: 46, A: -1.01, rev/s: -0.286,  rev: +10.914
2024/04/15 13:48:59 ID: 241, Data: 9C2E50FFDEFF500F, Celsius: 46, A: -1.76, rev/s: -0.094,  rev: +10.889
2024/04/15 13:48:59 ID: 241, Data: 9C2EDBFE92FF460F, Celsius: 46, A: -2.93, rev/s: -0.306,  rev: +10.861
2024/04/15 13:48:59 ID: 241, Data: 9C2E87FE2CFF390F, Celsius: 46, A: -3.77, rev/s: -0.589,  rev: +10.825
2024/04/15 13:49:00 ID: 241, Data: 9C2EC7FE42FF290F, Celsius: 46, A: -3.13, rev/s: -0.528,  rev: +10.781
2024/04/15 13:49:00 ID: 241, Data: 9C2E65FF69FF1B0F, Celsius: 46, A: -1.55, rev/s: -0.419,  rev: +10.742
2024/04/15 13:49:00 ID: 241, Data: 9C2E1CFFC9FF170F, Celsius: 46, A: -2.28, rev/s: -0.153,  rev: +10.731
2024/04/15 13:49:00 ID: 241, Data: 9C2E17FF39FF0C0F, Celsius: 46, A: -2.33, rev/s: -0.553,  rev: +10.700
2024/04/15 13:49:00 ID: 241, Data: 9C2E38FFB9FFFF0E, Celsius: 46, A: -2.00, rev/s: -0.197,  rev: +10.664
2024/04/15 13:49:00 ID: 241, Data: 9C2E4FFF7FFFF50E, Celsius: 46, A: -1.77, rev/s: -0.358,  rev: +10.636
2024/04/15 13:49:00 ID: 241, Data: 9C2E47FFC9FFE90E, Celsius: 46, A: -1.85, rev/s: -0.153,  rev: +10.603
2024/04/15 13:49:00 ID: 241, Data: 9C2FF6FEEAFFE00E, Celsius: 47, A: -2.66, rev/s: -0.061,  rev: +10.578
2024/04/15 13:49:00 ID: 241, Data: 9C2EA1FE7EFFD70E, Celsius: 46, A: -3.51, rev/s: -0.361,  rev: +10.553
2024/04/15 13:49:00 ID: 241, Data: 9C2E5FFE02FFCB0E, Celsius: 46, A: -4.17, rev/s: -0.706,  rev: +10.519
2024/04/15 13:49:01 ID: 241, Data: 9C2E01FE8CFFC00E, Celsius: 46, A: -5.11, rev/s: -0.322,  rev: +10.489
2024/04/15 13:49:01 ID: 241, Data: 9C2EFFFD89FFB10E, Celsius: 46, A: -5.13, rev/s: -0.331,  rev: +10.447
2024/04/15 13:49:01 ID: 241, Data: 9C2E0DFE77FFA70E, Celsius: 46, A: -4.99, rev/s: -0.381,  rev: +10.419
2024/04/15 13:49:01 ID: 241, Data: 9C2E3EFF1EFF930E, Celsius: 46, A: -1.94, rev/s: -0.628,  rev: +10.364
2024/04/15 13:49:01 ID: 241, Data: 9C2EADFF50FF8C0E, Celsius: 46, A: -0.83, rev/s: -0.489,  rev: +10.344
2024/04/15 13:49:01 ID: 241, Data: 9C2F8AFFBAFF870E, Celsius: 47, A: -1.18, rev/s: -0.194,  rev: +10.331
2024/04/15 13:49:01 ID: 241, Data: 9C2EA7FF0AFF7C0E, Celsius: 46, A: -0.89, rev/s: -0.683,  rev: +10.300
2024/04/15 13:49:01 ID: 241, Data: 9C2E5AFFCDFF710E, Celsius: 46, A: -1.66, rev/s: -0.142,  rev: +10.269
2024/04/15 13:49:01 ID: 241, Data: 9C2E08FFD7FF680E, Celsius: 46, A: -2.48, rev/s: -0.114,  rev: +10.244
2024/04/15 13:49:01 ID: 241, Data: 9C2E8DFE9FFF5F0E, Celsius: 46, A: -3.71, rev/s: -0.269,  rev: +10.219
2024/04/15 13:49:02 ID: 241, Data: 9C2E31FE41FF500E, Celsius: 46, A: -4.63, rev/s: -0.531,  rev: +10.178
2024/04/15 13:49:02 ID: 241, Data: 9C2FF6FDBDFF460E, Celsius: 47, A: -5.22, rev/s: -0.186,  rev: +10.150
