2024/04/15 14:49:29 ID: 241, Data: 9C37C3FCF6FF3A08, Celsius: 55, A: -8.29, rev/s: -0.028,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C37C9FCFCFF3A08, Celsius: 55, A: -8.23, rev/s: -0.011,  rev: +5.850
2024/04/15 14:49:29 ID: 241, Data: 9C37C8FCF7FF3A08, Celsius: 55, A: -8.24, rev/s: -0.025,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C37C6FCFAFF3A08, Celsius: 55, A: -8.26, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C37CDFCFBFF3A08, Celsius: 55, A: -8.19, rev/s: -0.014,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C37C4FCFAFF3A08, Celsius: 55, A: -8.28, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C37C4FCF2FF3A08, Celsius: 55, A: -8.28, rev/s: -0.039,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C37C4FC04003A08, Celsius: 55, A: -8.28, rev/s: +0.011,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C37C8FCF5FF3A08, Celsius: 55, A: -8.24, rev/s: -0.031,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C38C5FCFAFF3A08, Celsius: 56, A: -8.27, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C38C4FC07003A08, Celsius: 56, A: -8.28, rev/s: +0.019,  rev: +5.850
2024/04/15 14:49:30 ID: 241, Data: 9C38C2FC0B003A08, Celsius: 56, A: -8.30, rev/s: +0.031,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C38C5FC00003A08, Celsius: 56, A: -8.27, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C38C5FC06003A08, Celsius: 56, A: -8.27, rev/s: +0.017,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C38C1FC02003A08, Celsius: 56, A: -8.31, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C38BEFC01003A08, Celsius: 56, A: -8.34, rev/s: +0.003,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C39C1FCFDFF3A08, Celsius: 57, A: -8.31, rev/s: -0.008,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C39C3FC02003A08, Celsius: 57, A: -8.29, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C39C2FCEEFF3A08, Celsius: 57, A: -8.30, rev/s: -0.050,  rev: +5.850
