2024/04/15 15:22:07 ID: 241, Data: 9C2D2E031B003307, Celsius: 45, A: +8.14, rev/s: +0.075,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2E2D03FCFF3307, Celsius: 46, A: +8.13, rev/s: -0.011,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2E310313003407, Celsius: 46, A: +8.17, rev/s: +0.053,  rev: +5.122
2024/04/15 15:22:07 ID: 241, Data: 9C2E2E030D003307, Celsius: 46, A: +8.14, rev/s: +0.036,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2F2E0304003307, Celsius: 47, A: +8.14, rev/s: +0.011,  rev: +5.119
2024/04/15 15:22:07 ID: 241, Data: 9C2F2C03F9FF3307, Celsius: 47, A: +8.12, rev/s: -0.019,  rev: +5.119
2024/04/15 15:22:08 ID: 241, Data: 9C2F290317003307, Celsius: 47, A: +8.09, rev/s: +0.064,  rev: +5.119
2024/04/15 15:22:08 ID: 241, Data: 9C30280306003307, Celsius: 48, A: +8.08, rev/s: +0.017,  rev: +5.119
2024/04/15 15:22:08 ID: 241, Data: 9C302903F1FF3307, Celsius: 48, A: +8.09, rev/s: -0.042,  rev: +5.119
2024/04/15 15:22:08 ID: 241, Data: 9C302B0307003407, Celsius: 48, A: +8.11, rev/s: +0.019,  rev: +5.122
2024/04/15 15:22:08 ID: 241, Data: 9C31260314003307, Celsius: 49, A: +8.06, rev/s: +0.056,  rev: +5.119
2024/04/15 15:22:08 ID: 241, Data: 9C3127030B003307, Celsius: 49, A: +8.07, rev/s: +0.031,  rev: +5.119
2024/04/15 15:22:08 ID: 241, Data: 9C32280319003407, Celsius: 50, A: +8.08, rev/s: +0.069,  rev: +5.122
2024/04/15 15:22:08 ID: 241, Data: 9C3228030F003407, Celsius: 50, A: +8.08, rev/s: +0.042,  rev: +5.122
2024/04/15 15:22:08 ID: 241, Data: 9C32260316003407, Celsius: 50, A: +8.06, rev/s: +0.061,  rev: +5.122
2024/04/15 15:22:09 ID: 241, Data: 9C332503EFFF3307, Celsius: 51, A: +8.05, rev/s: -0.047,  rev: +5.119
2024/04/15 15:22:09 ID: 241, Data: 9C33250304003307, Celsius: 51, A: +8.05, rev/s: +0.011,  rev: +5.119
2024/04/15 15:22:09 ID: 241, Data: 9C3426030B003407, Celsius: 52, A: +8.06, rev/s: +0.031,  rev: +5.122
2024/04/15 15:22:09 ID: 241, Data: 9C34240314003407, Celsius: 52, A: +8.04, rev/s: +0.056,  rev: +5.122
2024/04/15 15:22:09 ID: 241, Data: 9C342403FBFF3307, Celsius: 52, A: +8.04, rev/s: -0.014,  rev: +5.119
2024/04/15 15:22:09 ID: 241, Data: 9C34210305003307, Celsius: 52, A: +8.01, rev/s: +0.014,  rev: +5.119
2024/04/15 15:22:09 ID: 241, Data: 9C35220311003407, Celsius: 53, A: +8.02, rev/s: +0.047,  rev: +5.122
2024/04/15 15:22:09 ID: 241, Data: 9C352103FAFF3307, Celsius: 53, A: +8.01, rev/s: -0.017,  rev: +5.119
2024/04/15 15:22:09 ID: 241, Data: 9C3623030A003407, Celsius: 54, A: +8.03, rev/s: +0.028,  rev: +5.122
2024/04/15 15:22:09 ID: 241, Data: 9C3623030A003407, Celsius: 54, A: +8.03, rev/s: +0.028,  rev: +5.122
2024/04/15 15:22:10 ID: 241, Data: 9C361F03E5FF3307, Celsius: 54, A: +7.99, rev/s: -0.075,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C361F0307003307, Celsius: 54, A: +7.99, rev/s: +0.019,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C371D0308003307, Celsius: 55, A: +7.97, rev/s: +0.022,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C371C03E2FF3307, Celsius: 55, A: +7.96, rev/s: -0.083,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C381C0317003407, Celsius: 56, A: +7.96, rev/s: +0.064,  rev: +5.122
2024/04/15 15:22:10 ID: 241, Data: 9C381C03EEFF3307, Celsius: 56, A: +7.96, rev/s: -0.050,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C381C030A003307, Celsius: 56, A: +7.96, rev/s: +0.028,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C391E03FBFF3307, Celsius: 57, A: +7.98, rev/s: -0.014,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C391A0306003307, Celsius: 57, A: +7.94, rev/s: +0.017,  rev: +5.119
2024/04/15 15:22:10 ID: 241, Data: 9C391A030B003407, Celsius: 57, A: +7.94, rev/s: +0.031,  rev: +5.122
2024/04/15 15:22:11 ID: 241, Data: 9C3A1A03F3FF3307, Celsius: 58, A: +7.94, rev/s: -0.036,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3A1A0304003307, Celsius: 58, A: +7.94, rev/s: +0.011,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3A190302003307, Celsius: 58, A: +7.93, rev/s: +0.006,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3B180301003307, Celsius: 59, A: +7.92, rev/s: +0.003,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3B1803FEFF3307, Celsius: 59, A: +7.92, rev/s: -0.006,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3B1803FEFF3307, Celsius: 59, A: +7.92, rev/s: -0.006,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3B1603EFFF3307, Celsius: 59, A: +7.90, rev/s: -0.047,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3C160306003307, Celsius: 60, A: +7.90, rev/s: +0.017,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3C1703F6FF3307, Celsius: 60, A: +7.91, rev/s: -0.028,  rev: +5.119
2024/04/15 15:22:11 ID: 241, Data: 9C3D1503FAFF3307, Celsius: 61, A: +7.89, rev/s: -0.017,  rev: +5.119
2024/04/15 15:22:12 ID: 241, Data: 9C3D1603F1FF3307, Celsius: 61, A: +7.90, rev/s: -0.042,  rev: +5.119
2024/04/15 15:22:12 ID: 241, Data: 9C3D1503FCFF3307, Celsius: 61, A: +7.89, rev/s: -0.011,  rev: +5.119
2024/04/15 15:22:12 ID: 241, Data: 9C3D0F0308003307, Celsius: 61, A: +7.83, rev/s: +0.022,  rev: +5.119
2024/04/15 15:22:12 ID: 241, Data: 9C3E100318003407, Celsius: 62, A: +7.84, rev/s: +0.067,  rev: +5.122
