2024/04/15 15:32:32 ID: 241, Data: 9C3BCF01A7033F0D, Celsius: 59, A: +4.63, rev/s: +2.597,  rev: +9.419
2024/04/15 15:32:32 ID: 241, Data: 9C3B3A02BC02770D, Celsius: 59, A: +5.70, rev/s: +1.944,  rev: +9.575
2024/04/15 15:32:32 ID: 241, Data: 9C3BAC02F801D20D, Celsius: 59, A: +6.84, rev/s: +1.400,  rev: +9.828
2024/04/15 15:32:32 ID: 241, Data: 9C3BEA016A032D0E, Celsius: 59, A: +4.90, rev/s: +2.428,  rev: +10.081
2024/04/15 15:32:32 ID: 241, Data: 9C3BDE027600550E, Celsius: 59, A: +7.34, rev/s: +0.328,  rev: +10.192
2024/04/15 15:32:32 ID: 241, Data: 9C3CED00B3059A0E, Celsius: 60, A: +2.37, rev/s: +4.053,  rev: +10.383
2024/04/15 15:32:33 ID: 241, Data: 9C3BF9013303DF0E, Celsius: 59, A: +5.05, rev/s: +2.275,  rev: +10.575
2024/04/15 15:32:33 ID: 241, Data: 9C3B7702DE013F0F, Celsius: 59, A: +6.31, rev/s: +1.328,  rev: +10.842
2024/04/15 15:32:33 ID: 241, Data: 9C3C0302C502A20F, Celsius: 60, A: +5.15, rev/s: +1.969,  rev: +11.117
2024/04/15 15:32:33 ID: 241, Data: 9C3C91006F06F00F, Celsius: 60, A: +1.45, rev/s: +4.575,  rev: +11.333
2024/04/15 15:32:33 ID: 241, Data: 9C3B4C0220023910, Celsius: 59, A: +5.88, rev/s: +1.511,  rev: +11.536
2024/04/15 15:32:33 ID: 241, Data: 9C3C640277019710, Celsius: 60, A: +6.12, rev/s: +1.042,  rev: +11.797
2024/04/15 15:32:33 ID: 241, Data: 9C3CB401CD03CE10, Celsius: 60, A: +4.36, rev/s: +2.703,  rev: +11.950
2024/04/15 15:32:33 ID: 241, Data: 9C3B760243021B11, Celsius: 59, A: +6.30, rev/s: +1.608,  rev: +12.164
2024/04/15 15:32:33 ID: 241, Data: 9C3CD600AA055C11, Celsius: 60, A: +2.14, rev/s: +4.028,  rev: +12.344
2024/04/15 15:32:33 ID: 241, Data: 9C3C2C026E02A411, Celsius: 60, A: +5.56, rev/s: +1.728,  rev: +12.544
2024/04/15 15:32:34 ID: 241, Data: 9C3CDD023C01F311, Celsius: 60, A: +7.33, rev/s: +0.878,  rev: +12.764
2024/04/15 15:32:34 ID: 241, Data: 9C3C33030000FB11, Celsius: 60, A: +8.19, rev/s: +0.000,  rev: +12.786
2024/04/15 15:32:34 ID: 241, Data: 9C3C37030C00FC11, Celsius: 60, A: +8.23, rev/s: +0.033,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3B3B03FAFFFC11, Celsius: 59, A: +8.27, rev/s: -0.017,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3C40031900FC11, Celsius: 60, A: +8.32, rev/s: +0.069,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3C41030700FC11, Celsius: 60, A: +8.33, rev/s: +0.019,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3B41030C00FC11, Celsius: 59, A: +8.33, rev/s: +0.033,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3B4503F2FFFC11, Celsius: 59, A: +8.37, rev/s: -0.039,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3C44030900FC11, Celsius: 60, A: +8.36, rev/s: +0.025,  rev: +12.789
2024/04/15 15:32:34 ID: 241, Data: 9C3C46030200FC11, Celsius: 60, A: +8.38, rev/s: +0.006,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3C4603FBFFFC11, Celsius: 60, A: +8.38, rev/s: -0.014,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3C48030200FC11, Celsius: 60, A: +8.40, rev/s: +0.006,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3C4803F7FFFC11, Celsius: 60, A: +8.40, rev/s: -0.025,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3C47030D00FC11, Celsius: 60, A: +8.39, rev/s: +0.036,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3B4803F6FFFC11, Celsius: 59, A: +8.40, rev/s: -0.028,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3B4403F3FFFC11, Celsius: 59, A: +8.36, rev/s: -0.036,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3B47030900FC11, Celsius: 59, A: +8.39, rev/s: +0.025,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3C4703EFFFFC11, Celsius: 60, A: +8.39, rev/s: -0.047,  rev: +12.789
2024/04/15 15:32:35 ID: 241, Data: 9C3B4703DDFFFC11, Celsius: 59, A: +8.39, rev/s: -0.097,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3C45030D00FC11, Celsius: 60, A: +8.37, rev/s: +0.036,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B4603FDFFFC11, Celsius: 59, A: +8.38, rev/s: -0.008,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B4803FEFFFC11, Celsius: 59, A: +8.40, rev/s: -0.006,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B47030B00FC11, Celsius: 59, A: +8.39, rev/s: +0.031,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3C4703E2FFFC11, Celsius: 60, A: +8.39, rev/s: -0.083,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B4803F2FFFC11, Celsius: 59, A: +8.40, rev/s: -0.039,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B4A03F0FFFC11, Celsius: 59, A: +8.42, rev/s: -0.044,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B4703FCFFFC11, Celsius: 59, A: +8.39, rev/s: -0.011,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B44030A00FC11, Celsius: 59, A: +8.36, rev/s: +0.028,  rev: +12.789
2024/04/15 15:32:36 ID: 241, Data: 9C3B4703F0FFFC11, Celsius: 59, A: +8.39, rev/s: -0.044,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3B45030200FC11, Celsius: 59, A: +8.37, rev/s: +0.006,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3B4503F1FFFC11, Celsius: 59, A: +8.37, rev/s: -0.042,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3B4403FAFFFC11, Celsius: 59, A: +8.36, rev/s: -0.017,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3B42030000FC11, Celsius: 59, A: +8.34, rev/s: +0.000,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3B4403F4FFFC11, Celsius: 59, A: +8.36, rev/s: -0.033,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3B52030F00FC11, Celsius: 59, A: +8.50, rev/s: +0.042,  rev: +12.789
2024/04/15 15:32:37 ID: 241, Data: 9C3BFA026E000712, Celsius: 59, A: +7.62, rev/s: +0.306,  rev: +12.819
2024/04/15 15:32:37 ID: 241, Data: 9C3BC802AF001912, Celsius: 59, A: +7.12, rev/s: +0.486,  rev: +12.869
2024/04/15 15:32:37 ID: 241, Data: 9C3B8701DF034012, Celsius: 59, A: +3.91, rev/s: +2.753,  rev: +12.978
2024/04/15 15:32:37 ID: 241, Data: 9C3BF90259006E12, Celsius: 59, A: +7.61, rev/s: +0.247,  rev: +13.106
2024/04/15 15:32:38 ID: 241, Data: 9C3B470354007A12, Celsius: 59, A: +8.39, rev/s: +0.233,  rev: +13.139
2024/04/15 15:32:38 ID: 241, Data: 9C3B130311007C12, Celsius: 59, A: +7.87, rev/s: +0.047,  rev: +13.144
2024/04/15 15:32:38 ID: 241, Data: 9C3B1703E0FF7C12, Celsius: 59, A: +7.91, rev/s: -0.089,  rev: +13.144
2024/04/15 15:32:38 ID: 241, Data: 9C3B1903FDFF7C12, Celsius: 59, A: +7.93, rev/s: -0.008,  rev: +13.144
